ID,WC_TA,RE_TA,EBIT_TA,MVE_BVTD,S_TA,Industry
60644,0.049,0.22,0.041,2.4,0.489,6
33083,0.145,0.24,0.051,1.514,0.28,4
63830,0.17,0.177,0.056,1.685,0.455,7
84658,0.164,0.289,0.064,1.029,0.222,3
41734,0.078,0.066,0.044,0.417,0.147,9
47556,0.16,0.371,0.06,2.653,0.445,9
33563,0.224,0.384,0.065,1.789,0.283,6
81316,0.273,0.213,0.062,0.426,0.159,2
38311,0.015,-0.138,0.036,0.108,0.084,6
46758,0.006,0.175,0.031,3.279,0.686,8
57407,0.565,0.755,0.115,5.264,0.545,7
33023,0.03,-0.215,0.042,0.146,0.09,2
60456,0.079,0.193,0.054,0.949,0.187,5
61773,0.231,0.285,0.069,0.838,0.18,3
34238,0.033,0.113,0.036,0.876,0.272,10
42394,0.014,0.123,0.041,1.39,0.221,10
77770,-0.009,-0.02,0.037,0.504,0.166,4
53962,-0.037,0.107,0.009,2.997,0.418,2
76070,0.266,0.326,0.074,1.083,0.27,9
35940,0.068,0.169,0.048,1.009,0.251,6
64412,0.064,0.183,0.049,0.96,0.181,7
45144,0.029,0.108,0.039,0.754,0.248,2
39806,0.448,0.576,0.093,3.23,0.529,5
36993,0.086,0.193,0.042,1.46,0.279,2
44524,0.449,0.73,0.083,6.831,0.738,8
47187,0.019,0.25,0.044,1.242,0.307,8
37717,-0.014,-0.106,0.028,0.371,0.125,10
56683,0.212,0.101,0.062,0.151,0.073,6
61373,0.337,0.424,0.078,1.648,0.238,1
47998,0.135,0.266,0.055,1.457,0.264,10
36819,0.249,0.155,0.06,0.881,0.276,9
48042,0.05,0.009,0.044,0.54,0.181,4
48938,0.529,0.737,0.111,4.151,0.519,8
33444,0.196,0.297,0.064,1.019,0.243,4
64750,-0.095,0.064,-0.002,4.106,0.436,4
62499,0.037,0.146,0.038,1,0.304,4
34394,0.034,0.176,0.033,2.679,0.492,8
83271,0.319,0.464,0.072,2.2,0.312,9
54289,0.145,0.131,0.054,0.687,0.216,9
64231,0.167,0.434,0.059,4.246,0.552,4
62418,0.228,0.278,0.069,0.665,0.162,10
33202,0.124,0.578,0.047,11.654,1.003,6
69771,0.033,0.056,0.038,0.661,0.191,1
70516,0.031,0.181,0.034,1.221,0.336,7
70507,0.043,0.094,0.043,0.647,0.183,10
57428,0.065,0.564,0.045,7.482,1.074,12
46473,-0.046,0.147,0.014,3.627,0.85,11
64906,0.315,0.587,0.078,4.549,0.618,4
35704,0.091,0.042,0.042,0.372,0.13,4
67493,0.021,0.131,0.034,0.745,0.162,9
60991,0.461,0.715,0.088,3.581,0.442,9
60200,0.194,0.375,0.054,1.998,0.314,9
71567,0.104,0.181,0.056,0.917,0.21,5
52542,0.149,0.285,0.063,0.757,0.245,9
46979,-0.037,-0.023,0.026,0.688,0.137,10
54879,0.044,0.212,0.044,1.137,0.319,7
51695,0.096,0.144,0.05,0.4,0.093,1
70688,-0.134,-1.438,0.001,0.071,0.082,3
66183,0.217,0.363,0.06,1.578,0.246,10
45750,0.243,0.422,0.074,1.779,0.339,3
55700,0.191,0.467,0.043,4.431,0.8,8
73498,0.362,0.477,0.08,2.604,0.352,8
81942,0.096,0.129,0.048,0.58,0.147,10
45002,0.028,0.176,0.034,1.303,0.23,4
81827,0.062,0.057,0.047,0.485,0.137,1
56404,0.154,0.218,0.061,0.756,0.19,10
65761,0.385,0.542,0.1,1.29,0.24,5
38265,0.087,0.178,0.047,0.565,0.145,6
73761,0.591,0.805,0.114,6.594,0.748,9
45892,0.142,0.421,0.044,6.2,0.994,9
65893,0.02,0.189,0.031,3.22,0.538,3
50165,0.024,0.187,0.039,2.614,0.408,9
58015,0.203,0.351,0.062,1.532,0.286,4
35797,0.14,0.17,0.058,0.51,0.152,5
44141,0.029,0.1,0.04,1.04,0.278,10
46057,-0.017,0.186,0.036,1.632,0.51,1
59071,0.017,-0.023,0.038,0.52,0.22,9
62724,0.051,0.29,0.042,2.539,0.297,5
63768,0.098,0.045,0.045,0.639,0.17,1
46430,0.712,1.341,0.156,26.385,1.128,1
41534,0.002,0.095,0.036,0.483,0.103,10
49528,-0.009,-0.072,0.019,0.978,0.314,10
53035,0.159,0.07,0.049,0.519,0.118,10
83585,0.009,0.067,0.039,0.545,0.149,5
58123,-0.025,0.098,0.031,0.889,0.258,6
80779,0.193,0.199,0.06,0.7,0.253,8
46649,0.248,0.28,0.069,0.735,0.239,1
60792,-0.014,-0.261,0.038,0.188,0.105,1
69871,0.002,-0.256,0.035,0.165,0.096,11
56013,0.343,0.459,0.069,2.513,0.436,1
36057,0.253,0.431,0.068,1.764,0.351,4
36719,-0.275,-1.73,-0.03,0.119,0.123,6
78812,0.055,0.243,0.037,1.509,0.21,6
50209,0.121,0.235,0.054,0.839,0.231,4
64497,-0.071,-0.082,0.013,0.754,0.462,6
75970,0.208,0.548,0.063,5.477,0.852,4
76914,0.62,0.892,0.131,4.7,0.386,8
73280,-0.063,0.15,0.021,4.812,0.819,2
75045,0.315,0.404,0.084,1.662,0.26,6
61034,0.002,-0.002,0.035,0.642,0.116,4
81429,0.024,0.05,0.034,0.735,0.271,12
76262,0.382,0.39,0.074,0.969,0.245,12
37158,-0.009,-0.193,0.032,0.132,0.092,2
58462,0.167,0.19,0.052,0.548,0.128,2
82584,0.039,0.195,0.039,1.093,0.281,10
40862,0.332,0.492,0.074,2.896,0.467,1
36743,0.061,0.126,0.043,0.55,0.261,8
62626,-0.006,0.191,0.026,0.76,0.194,7
33173,0.005,0.254,0.036,2.367,0.365,4
72065,-0.562,-0.748,-0.163,0.606,0.397,5
48583,-0.025,0.057,0.033,0.541,0.247,9
39014,0.283,0.261,0.077,0.629,0.109,10
78566,-0.052,-0.119,0.021,0.426,0.142,1
66031,0.003,0.152,0.037,1.326,0.299,3
66137,0.63,0.974,0.114,19.927,1.217,9
59861,-0.066,0.162,0.01,4.577,0.992,1
53025,0.327,0.504,0.072,2.751,0.337,12
65443,0.226,0.324,0.051,2.525,0.349,3
55559,0.355,0.446,0.079,2.462,0.312,8
